movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Star Trek Into Darkness,208514146.38753074,555481954.8498864,2.664001289473684,2013-05-16,132.0,Adventure,J.J. Abrams
Star Trek Into Darkness,208514146.38753074,555481954.8498864,2.664001289473684,2013-05-16,132.0,Sci-Fi,J.J. Abrams
World War Z,208514146.38753074,596871042.7683091,2.862496636842105,2013-06-21,116.0,Action,Marc Forster
World War Z,208514146.38753074,596871042.7683091,2.862496636842105,2013-06-21,116.0,Adventure,Marc Forster
World War Z,208514146.38753074,596871042.7683091,2.862496636842105,2013-06-21,116.0,Horror,Marc Forster
The Great Gatsby,208514146.38753074,335686746.4835399,1.609899147368421,2013-05-10,143.0,Drama,Baz Luhrmann
The Great Gatsby,208514146.38753074,335686746.4835399,1.609899147368421,2013-05-10,143.0,Romance,Baz Luhrmann
Disneyâs A Christmas Carol,226417028.29814902,314082793.9838816,1.387187157894737,2009-11-06,,,
Pacific Rim,208514146.38753074,354260938.62165123,1.698977957894737,2013-07-12,131.0,Action,Guillermo del Toro
Pacific Rim,208514146.38753074,354260938.62165123,1.698977957894737,2013-07-12,131.0,Adventure,Guillermo del Toro
Pacific Rim,208514146.38753074,354260938.62165123,1.698977957894737,2013-07-12,131.0,Sci-Fi,Guillermo del Toro
The Good Dinosaur,202245777.72902367,290541599.73398113,1.4365768373333334,2015-11-25,93.0,Adventure,Peter Sohn
The Good Dinosaur,202245777.72902367,290541599.73398113,1.4365768373333334,2015-11-25,93.0,Animation,Peter Sohn
The Good Dinosaur,202245777.72902367,290541599.73398113,1.4365768373333334,2015-11-25,93.0,Comedy,Peter Sohn
Iron Man,220861771.5498623,852307562.9794338,3.8590089946236565,2008-05-02,84.0,Comedy,Rahim Behboodi Far
Iron Man,220861771.5498623,852307562.9794338,3.8590089946236565,2008-05-02,84.0,Drama,Rahim Behboodi Far
Iron Man,220861771.5498623,852307562.9794338,3.8590089946236565,2008-05-02,84.0,Family,Rahim Behboodi Far
The Dark Knight,219674342.67056197,1603880556.425958,7.301173805405405,2008-07-18,,,
Indiana Jones and the Kingdom of the Crystal Skull,219674342.67056197,1090934290.565036,4.966143416216215,2008-05-22,,,
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Adventure,Brenda Chapman
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Adventure,Steve Purcell
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Adventure,Mark Andrews
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Animation,Brenda Chapman
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Animation,Steve Purcell
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Animation,Mark Andrews
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Comedy,Brenda Chapman
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Comedy,Steve Purcell
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,93.0,Comedy,Mark Andrews
